"codename","en_title","cn_title","stripped_title","en_text","cn_text","stripped_text","advancement_requirement","agenda_points","attribution","base_link","type_codename","subtype_codenames","cost","deck_limit","designed_by","faction_codename","influence_cost","influence_limit","is_unique","memory_cost","minimum_deck_size","pronouns","pronunciation_approx","pronunciation_ipa","side_codename","strength","trash_cost"
"loot_box","Loot Box","随机卡池","Loot Box","[subroutine] End the run unless the Runner pays 2[credit].
[subroutine] Reveal the top 3 cards of the stack. Add 1 of those cards to the grip and gain X[credit], where X is equal to that cardʼs play or install cost. The Runner shuffles the stack. Trash this ice.","[subroutine] 终止本次潜袭，除非潜袭者支付2[credit]。
[subroutine] 展示存储栈顶端的3张卡牌。将其中的1张加入操控器并获得X[credit]，X等于该卡牌的打出或安装费用。潜袭者将存储栈重洗。销毁本防火墙。","Subroutine End the run unless the Runner pays 2 credits. Subroutine Reveal the top 3 cards of the stack. Add 1 of those cards to the grip and gain X credits, where X is equal to that card's play or install cost. The Runner shuffles the stack. Trash this ice.","","","","","ice","[""trap""]","0","3","null_signal_games","nbn","1","","False","","","","","","corp","3",""
"los_data_hijacker","Los: Data Hijacker","洛斯: 数据劫匪","Los: Data Hijacker","The first time the Corp rezzes a piece of ice each turn, gain 2[credit].","每回合公司第一次激活一层防火墙时，获得2[credit]。","The first time the Corp rezzes a piece of ice each turn, gain 2 credits.","","","","0","runner_identity","[""g_mod""]","","1","fantasy_flight_games","criminal","","15","False","","45","","","","runner","",""
"lotus_field","Lotus Field","莲花田","Lotus Field","The strength of this ice cannot be lowered.
[subroutine] End the run.","本防火墙的强度不能被降低。
[subroutine] 终止本次潜袭。","The strength of this ice cannot be lowered. Subroutine End the run.","","","","","ice","[""code_gate""]","5","3","fantasy_flight_games","jinteki","1","","False","","","","","","corp","4",""
"lt_todachine","Lt. Todachine","","Lt. Todachine","Whenever you rez a piece of ice, give the Runner 1 tag.","","Whenever you rez a piece of ice, give the Runner 1 tag.","","","","","asset","[""character""]","3","3","fantasy_flight_games","neutral_corp","0","","True","","","","","","corp","","5"
"lt_todachine_2","Lt. Todachine 2","","Lt. Todachine 2","Whenever you rez a piece of ice, give the Runner 1 tag.
Whenever the Runner accesses cards, he or she accesses 1 fewer card if he or she is tagged (to a minimum of 1 card).","","Whenever you rez a piece of ice, give the Runner 1 tag. Whenever the Runner accesses cards, he or she accesses 1 fewer card if he or she is tagged (to a minimum of 1 card).","","","","","asset","[""character""]","3","3","fantasy_flight_games","neutral_corp","0","","True","","","","","","corp","","5"
"lucky_charm","Lucky Charm","幸运护符","Lucky Charm","[interrupt] → <strong>Remove this hardware from the game:</strong> Prevent a Corp card ability from ending the run. Use this ability only if you made a successful run on HQ this turn.","[interrupt] → <strong>将本硬件移出游戏:</strong> 防止一次公司卡牌能力导致的终止潜袭。只有你本回合已对总部进行过成功的潜袭时，才能使用本能力。","Interrupt -> Remove this hardware from the game: Prevent a Corp card ability from ending the run. Use this ability only if you made a successful run on HQ this turn.","","","","","hardware","[""chip""]","1","3","null_signal_games","criminal","2","","True","","","","","","runner","",""
"lucky_find","Lucky Find","","Lucky Find","As an additional cost to play this event, spend [click].
Gain 9[credit].","","As an additional cost to play this event, spend click. Gain 9 credits.","","","","","event","[""double""]","3","3","fantasy_flight_games","neutral_runner","2","","False","","","","","","runner","",""
"luminal_transubstantiation","Luminal Transubstantiation","光脑体变","Luminal Transubstantiation","When you score this agenda, gain [click][click][click]. You cannot score agendas for the remainder of the turn.
Limit 1 per deck.","当你将本议案计分时，获得[click][click][click]。你在本回合剩余时间内不能将议案计分。
每套牌组限制1张。","When you score this agenda, gain click click click. You cannot score agendas for the remainder of the turn. Limit 1 per deck.","3","2","","","agenda","[""research""]","","1","null_signal_games","haas_bioroid","","","False","","","","","","corp","",""
"lustig","Lustig","","Lustig","Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>3[credit]:</strong> +5 strength.
<strong>[trash]:</strong> Bypass the <strong>sentry</strong> you are encountering.","","Interface -> 1 credit: Break 1 sentry subroutine. 3 credits: +5 strength. trash: Bypass the sentry you are encountering.","","","","","program","[""icebreaker"", ""killer""]","5","3","fantasy_flight_games","criminal","3","","False","1","","","","","runner","1",""
"lycan","Lycan","狼人","Lycan","Lycan can be advanced.
While Lycan has an odd number of advancement tokens on it, it gains <strong>code gate</strong> and loses <strong>sentry</strong>.
[subroutine] Trash 1 program.","狼人能被推进。
当狼人具有奇数数量的推进标记时，其获得<strong>门禁</strong>并失去<strong>警报</strong>。
[subroutine] 销毁一个程序。","Lycan can be advanced. While Lycan has an odd number of advancement tokens on it, it gains code gate and loses sentry. Subroutine Trash 1 program.","","","","","ice","[""sentry"", ""destroyer"", ""morph""]","6","3","fantasy_flight_games","weyland_consortium","2","","False","","","","","","corp","3",""
"lycian_multi_munition","Lycian Multi-Munition","利西亚复合军火","Lycian Multi-Munition","When you rez this ice, choose 1 or more subtypes among <strong>barrier</strong>, <strong>code gate</strong>, and <strong>sentry</strong>. This ice gains the chosen subtypes while it remains rezzed.
When a turn ends, derez this ice.
[subroutine] If this ice is a <strong>code gate</strong>, the Runner loses [click] and 1[credit].
[subroutine] If this ice is a <strong>sentry</strong>, trash 1 installed program.
[subroutine] If this ice is a <strong>barrier</strong>, gain 1[credit] and end the run.","当你激活本防火墙时，从<strong>屏障</strong>、<strong>门禁</strong>与<strong>警报</strong>中选择1个或更多子类型。在本防火墙处于激活状态的期间，其获得所选择的子类型。
当回合结束时，关闭本防火墙。
[subroutine] 如果本防火墙是<strong>门禁</strong>，潜袭者失去[click]与1[credit]。
[subroutine] 如果本防火墙是<strong>警报</strong>，销毁1个已安装的程序。
[subroutine] 如果本防火墙是<strong>屏障</strong>，获得1[credit]并终止本次潜袭。","When you rez this ice, choose 1 or more subtypes among barrier, code gate, and sentry. This ice gains the chosen subtypes while it remains rezzed. When a turn ends, derez this ice. Subroutine If this ice is a code gate, the Runner loses click and 1 credit. Subroutine If this ice is a sentry, trash 1 installed program. Subroutine If this ice is a barrier, gain 1 credit and end the run.","","","","","ice","[""mythic"", ""destroyer""]","3","3","null_signal_games","haas_bioroid","2","","True","","","","","","corp","1",""
"m_i_c","M.I.C.","军工复合体","M.I.C.","[trash]<strong>:</strong> End the run unless the Runner spends [click]. Use this ability only during a run on this server.
[subroutine] The Runner loses [click].
[subroutine] The Runner loses [click].
[subroutine] End the run.","[trash]<strong>:</strong> 终止本次潜袭，除非潜袭者花费[click]。仅能在对本服务器的潜袭中使用本能力。
[subroutine] 潜袭者失去[click]。
[subroutine] 潜袭者失去[click]。
[subroutine] 终止本次潜袭。","trash: End the run unless the Runner spends click. Use this ability only during a run on this server. Subroutine The Runner loses click. Subroutine The Runner loses click. Subroutine End the run.","","","","","ice","[""code_gate""]","6","3","null_signal_games","haas_bioroid","2","","False","","","","","","corp","4",""
"mache","Mâché","","Mache","The first time you trash an accessed card each turn, you may place power counters on Mâché equal to that card's trash cost.
<strong>3 hosted power counters</strong>: Draw 1 card.","","The first time you trash an accessed card each turn, you may place power counters on Mache equal to that card's trash cost. 3 hosted power counters: Draw 1 card.","","","","","hardware","","1","3","fantasy_flight_games","shaper","3","","True","","","","","","runner","",""
"machicolation_a","Machicolation A","","Machicolation A","[subroutine] Trash 1 program.
[subroutine] Trash 1 program.
[subroutine] Trash 1 piece of hardware.
[subroutine] The Runner loses 3[credit], if able. End the run.","","Subroutine Trash 1 program. Subroutine Trash 1 program. Subroutine Trash 1 piece of hardware. Subroutine The Runner loses 3 credits, if able. End the run.","","","","","ice","[""code_gate"", ""destroyer""]","6","3","fantasy_flight_games","neutral_corp","0","","False","","","","","","corp","4",""
"machicolation_b","Machicolation B","","Machicolation B","[subroutine] Trash 1 resource.
[subroutine] Trash 1 resource.
[subroutine] Do 1 net damage.
[subroutine] The Runner loses [click], if able. End the run.","","Subroutine Trash 1 resource. Subroutine Trash 1 resource. Subroutine Do 1 net damage. Subroutine The Runner loses click, if able. End the run.","","","","","ice","[""code_gate"", ""destroyer"", ""ap""]","6","3","fantasy_flight_games","neutral_corp","0","","False","","","","","","corp","4",""
"macrophage","Macrophage","巨噬细胞","Macrophage","[subroutine] Trace[4]. If successful, purge virus counters.
[subroutine] Trace[3]. If successful, trash 1 <strong>virus</strong>.
[subroutine] Trace[2]. If successful, remove a <strong>virus</strong> in the heap from the game.
[subroutine] Trace[1]. If successful, end the run.","[subroutine] <trace>追踪 4</trace> 如果成功，清除病毒指示物。
[subroutine] <trace>追踪 3</trace> 如果成功，销毁一个<strong>病毒</strong>。
[subroutine] <trace>追踪 2</trace> 如果成功，将堆阵中的一个<strong>病毒</strong>移出游戏。
[subroutine] <trace>追踪 1</trace> 如果成功，终止本次潜袭。","Subroutine Trace[4]. If successful, purge virus counters. Subroutine Trace[3]. If successful, trash 1 virus. Subroutine Trace[2]. If successful, remove a virus in the heap from the game. Subroutine Trace[1]. If successful, end the run.","","","","","ice","[""code_gate"", ""tracer""]","3","3","fantasy_flight_games","neutral_corp","0","","False","","","","","","corp","7",""
"mad_dash","Mad Dash","疯狂冲刺","Mad Dash","Make a run. When this run ends, add Mad Dash to your score area as an agenda worth 1 agenda point if you stole at least 1 agenda during the run; otherwise, suffer 1 meat damage.","进行一次潜袭。当本次潜袭结束时，如果你在本次潜袭中窃取了至少一个议案，将疯狂冲刺加入你的分数区，作为一个价值1点议案分数的议案；否则，受到1点肢体伤害。","Make a run. When this run ends, add Mad Dash to your score area as an agenda worth 1 agenda point if you stole at least 1 agenda during the run; otherwise, suffer 1 meat damage.","","","","","event","[""run""]","0","3","fantasy_flight_games","neutral_runner","0","","False","","","","","","runner","",""
"magnet","Magnet","磁铁","Magnet","When you rez this ice, choose 1 installed program hosted on a piece of ice. Host that program on this ice.
Each hosted program loses all abilities and cannot gain abilities.
[subroutine] End the run.","当你激活本防火墙时，选择1个已安装且附载于防火墙上的程序。将该程序附载到本防火墙上。
所附载的程序失去所有能力。
[subroutine] 终止本次潜袭。","When you rez this ice, choose 1 installed program hosted on a piece of ice. Host that program on this ice. Each hosted program loses all abilities and cannot gain abilities. Subroutine End the run.","","","","","ice","[""code_gate""]","3","3","fantasy_flight_games","haas_bioroid","1","","False","","","","","","corp","3",""
"magnum_opus","Magnum Opus","","Magnum Opus","[click]: Gain 2[credit].","","click: Gain 2 credits.","","","","","program","","5","3","fantasy_flight_games","shaper","2","","False","2","","","","","runner","",""
"making_an_entrance","Making an Entrance","闪亮登场","Making an Entrance","Play only as your first [click].
Look at the top 6 cards of your stack. You may trash any of those cards and arrange the rest in any order.","仅能在你的第一个[click]打出。
查看你存储栈顶端的六张卡牌。你可以销毁其中任意数量的卡牌，并按任意顺序排列余下的卡牌。","Play only as your first click. Look at the top 6 cards of your stack. You may trash any of those cards and arrange the rest in any order.","","","","","event","[""priority""]","0","3","fantasy_flight_games","anarch","2","","False","","","","","","runner","",""
"makler","Makler","经纪人","Makler","Interface → <strong>2[credit]:</strong> Break up to 2 <strong>barrier</strong> subroutines.
<strong>2[credit]:</strong> +2 strength.
The first time each turn this program fully breaks a piece of ice, gain 1[credit].","对接 → <strong>2[credit]:</strong> 破解最多2条<strong>屏障</strong>子进程。
<strong>2[credit]:</strong> 强度+2。
每回合你第一次仅使用本程序破解所遭遇防火墙上的所有子进程时，获得1[credit]。","Interface -> 2 credits: Break up to 2 barrier subroutines. 2 credits: +2 strength. The first time each turn this program fully breaks a piece of ice, gain 1 credit.","","","","","program","[""icebreaker"", ""fracter""]","5","3","null_signal_games","criminal","2","","False","1","","","","","runner","2",""
"malandragem","Malandragem","街头智慧","Malandragem","When you install this program, load 2 power counters onto it. When it is empty, remove it from the game.
Whenever you encounter a piece of ice, if its strength is 3 or less, you may remove 1 hosted power counter to bypass it. Use this ability only once per turn.
Threat 4 → Whenever you encounter a piece of ice, you may remove this program from the game to bypass it.","当你安装本程序时，填装2枚能量指示物到本程序上。当其清空时，将其移出游戏。
每当你遭遇一层防火墙时，如果其强度等于或小于3，你可以移除1枚所附载的能量指示物，以略过该防火墙。本能力每回合仅限使用一次。
威胁4 → 每当你遭遇一层防火墙时，你可以将本程序移出游戏，以略过该防火墙。","When you install this program, load 2 power counters onto it. When it is empty, remove it from the game. Whenever you encounter a piece of ice, if its strength is 3 or less, you may remove 1 hosted power counter to bypass it. Use this ability only once per turn. Threat 4 -> Whenever you encounter a piece of ice, you may remove this program from the game to bypass it.","","","","","program","","4","3","null_signal_games","criminal","4","","False","1","","","ma-lah-DRA-jheng","malɐ̃ˈdɾaʒẽj","runner","",""
"malapert_data_vault","Malapert Data Vault","马拉柏特数据密库","Malapert Data Vault","Whenever you score an agenda from the root of this server, you may search R&D for 1 non-agenda card and reveal it. <em>(Shuffle R&D after searching it.)</em> Add that card to HQ.","每当你将本服务器根目录中的议案计分时，你可以在研发中心搜寻1张非议案卡牌并展示之。<em>（在搜寻研发中心后将其洗混。）</em>将该卡牌加入总部。","Whenever you score an agenda from the root of this server, you may search R&D for 1 non-agenda card and reveal it. (Shuffle R&D after searching it.) Add that card to HQ.","","","","","upgrade","","1","3","null_signal_games","weyland_consortium","3","","True","","","","","","corp","","4"
"malia_z0l0k4","Malia Z0L0K4","","Malia Z0L0K4","When you rez this asset, choose 1 installed non-<strong>virtual</strong> resource.
The chosen resource loses its printed abilities.","","When you rez this asset, choose 1 installed non-virtual resource. The chosen resource loses its printed abilities.","","","","","asset","[""bioroid""]","1","3","fantasy_flight_games","haas_bioroid","1","","True","","","","","","corp","","3"
"mamba","Mamba","曼巴蛇","Mamba","<strong>Hosted power counter:</strong> Do 1 net damage. Use this ability only during a run.
[subroutine] Do 1 net damage.
[subroutine] You and the Runner secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits, place 1 power counter on Mamba.","<strong>所附载的能量指示物</strong>: 造成1点网域伤害。仅能在一次潜袭中使用本能力。
[subroutine] 造成1点网域伤害。
[subroutine] 你和潜袭者秘密花费0[credit]，1[credit]或2[credit]。展示所花费的信用点。如果你和潜袭者花费了不同数量的信用点，放置1枚能量指示物到曼巴蛇上。","Hosted power counter: Do 1 net damage. Use this ability only during a run. Subroutine Do 1 net damage. Subroutine You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, place 1 power counter on Mamba.","","","","","ice","[""sentry"", ""psi"", ""ap""]","6","3","fantasy_flight_games","jinteki","2","","False","","","","","","corp","4",""
"mammon","Mammon","","Mammon","Interface → <strong>Hosted power counter:</strong> Break 1 subroutine.
<strong>2[credit]:</strong> +2 strength.
When your turn begins, you may pay X[credit] to place X power counters on this program.
When your turn ends, remove all hosted power counters.","","Interface -> Hosted power counter: Break 1 subroutine. 2 credits: +2 strength. When your turn begins, you may pay X credits to place X power counters on this program. When your turn ends, remove all hosted power counters.","","","","","program","[""icebreaker"", ""ai""]","3","3","fantasy_flight_games","criminal","2","","False","1","","","","","runner","0",""
"mandatory_seed_replacement","Mandatory Seed Replacement","","Mandatory Seed Replacement","When you score Mandatory Seed Replacement, rearrange any number of ice protecting all servers.","","When you score Mandatory Seed Replacement, rearrange any number of ice protecting all servers.","4","2","","","agenda","[""security""]","","3","fantasy_flight_games","jinteki","","","False","","","","","","corp","",""
"mandatory_upgrades","Mandatory Upgrades","强制升级","Mandatory Upgrades","You have 1 additional [click] to spend each turn.","每回合你有一个额外的[click]用来花费。","You have 1 additional click to spend each turn.","6","2","","","agenda","[""initiative""]","","3","fantasy_flight_games","haas_bioroid","","","False","","","","","","corp","",""
"manegarm_skunkworks","Manegarm Skunkworks","逐月狼秘密开发部","Manegarm Skunkworks","Whenever the Runner approaches this server, end the run unless they either spend [click][click] or pay 5[credit].","每当潜袭者接驳本服务器时，终止本次潜袭，除非潜袭者花费[click][click]或支付5[credit]。","Whenever the Runner approaches this server, end the run unless they either spend click click or pay 5 credits.","","","","","upgrade","","2","3","null_signal_games","haas_bioroid","3","","True","","","","","","corp","","3"
"manhunt","Manhunt","搜捕","Manhunt","This card is not trashed until another <strong>current</strong> is played or an agenda is stolen.
The first time the Runner makes a successful run each turn, Trace[2]. If successful, give the Runner 1 tag.","本卡牌打出后不会被销毁，直到另一个<strong>局势</strong>被打出或一个议案被窃取。
每回合潜袭者第一次进行成功的潜袭时，<trace>追踪 2</trace> 如果成功，给予潜袭者1枚锁定标记。","This card is not trashed until another current is played or an agenda is stolen. The first time the Runner makes a successful run each turn, Trace[2]. If successful, give the Runner 1 tag.","","","","","operation","[""current""]","3","3","fantasy_flight_games","nbn","3","","False","","","","","","corp","",""
"manta_grid","Manta Grid","曼塔网阵","Manta Grid","If the Runner has fewer than 6[credit] or no unspent clicks when a successful run on this server ends, you have 1 additional [click] to spend your next turn.
Limit 1 <strong>region</strong> per server.","如果当对本服务器的成功潜袭结束时，潜袭者具有少于6[credit]或没有未花费的时点，你在你的下回合有一个额外的[click]用来花费。
每台服务器限制1个<strong>区域</strong>。","If the Runner has fewer than 6 credits or no unspent clicks when a successful run on this server ends, you have 1 additional click to spend your next turn. Limit 1 region per server.","","","","","upgrade","[""region""]","1","3","fantasy_flight_games","haas_bioroid","2","","True","","","","","","corp","","5"
"mantle","Mantle","披风","Mantle","1[recurring-credit]
You can spend hosted credits to use hardware and programs.","1[recurring-credit]
你可以花费所附载的信用点以使用硬件和程序。","1 recurring credit You can spend hosted credits to use hardware and programs.","","","","","program","[""stealth""]","1","3","null_signal_games","shaper","2","","False","1","","","","","runner","",""
"manuel_lattes_de_moura","Manuel Lattes de Moura","曼纽尔·拿铁·德莫拉","Manuel Lattes de Moura","Whenever you breach HQ or R&D while you are tagged, access 1 additional card.
Threat 3 → As an additional cost to trash this resource with the basic action, the Corp must trash 1 card from HQ. <em>(This ability is active if any player has 3 or more agenda points.)</em>","每当你在被锁定状态下侵入总部或研发中心时，额外读取1张卡牌。
威胁3 → 作为通过基础行动销毁本资源的额外费用，公司必须从总部销毁1张卡牌。<em>（本能力在任一玩家有3点或更多议案分数时生效。）</em>","Whenever you breach HQ or R&D while you are tagged, access 1 additional card. Threat 3 -> As an additional cost to trash this resource with the basic action, the Corp must trash 1 card from HQ. (This ability is active if any player has 3 or more agenda points.)","","","","","resource","[""connection""]","2","3","null_signal_games","anarch","2","","True","","","","ma-noo-EW l-A-tish djhee MOW-rah","manuˈɛw lˈatɨʃ d(ʒi) ˈmowɾɐ","runner","",""
"marathon","Marathon","","Marathon","Make a run on a remote server. When the run ends, gain [click] and add Marathon to your grip instead of trashing it if the run was successful. You may not make another run on that server for the remainder of this turn.","","Make a run on a remote server. When the run ends, gain click and add Marathon to your grip instead of trashing it if the run was successful. You may not make another run on that server for the remainder of this turn.","","","","","event","[""run""]","1","3","fantasy_flight_games","shaper","5","","False","","","","","","runner","",""
"marcus_batty","Marcus Batty","马可斯·巴蒂","Marcus Batty","[trash]: You and the Runner secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits, resolve 1 subroutine on a rezzed piece of ice protecting this server. Use this ability only during a run on this server.","[trash]: 你和潜袭者秘密花费0[credit]，1[credit]或2[credit]。展示所花费的信用点。如果你和潜袭者花费了不同数量的信用点，结算一层已激活的保护本服务器的防火墙上的一个子进程。仅能在对本服务器的潜袭中使用本能力。","trash: You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, resolve 1 subroutine on a rezzed piece of ice protecting this server. Use this ability only during a run on this server.","","","","","upgrade","[""sysop"", ""psi""]","0","3","fantasy_flight_games","jinteki","3","","True","","","","","","corp","","1"
"marilyn_campaign","Marilyn Campaign","玛丽莲营销计划","Marilyn Campaign","When you rez this asset, load 8[credit] onto it. When it is empty, trash it.
When your turn begins, take 2[credit] from this asset.
[interrupt] → When this asset would be trashed, you may shuffle it into R&D instead of adding it to Archives. <em>(It is still considered trashed.)</em>","当你激活本资产时，填装8[credit]到本资产上。当其清空时，销毁之。
当你的回合开始时，从本资产上拿取2[credit]。
[interrupt] → 当本资产将被销毁时，你可以将其洗入研发中心，代替加入档案库。<em>（它仍然视为被销毁。）</em>","When you rez this asset, load 8 credits onto it. When it is empty, trash it. When your turn begins, take 2 credits from this asset. Interrupt -> When this asset would be trashed, you may shuffle it into R&D instead of adding it to Archives. (It is still considered trashed.)","","","","","asset","[""advertisement""]","2","3","fantasy_flight_games","haas_bioroid","1","","False","","","","","","corp","","3"
"marjanah","Marjanah","玛雅娜","Marjanah","Interface → <strong>2[credit]:</strong> Break 1 <strong>barrier</strong> subroutine. If you made a successful run this turn, this ability costs 1[credit] less to use.
<strong>1[credit]:</strong> +1 strength.","对接 → <strong>2[credit]:</strong> 破解1条<strong>屏障</strong>子进程。如果你本回合已进行过成功的潜袭，本能力的费用减1[credit]。
<strong>1[credit]:</strong> 强度+1。","Interface -> 2 credits: Break 1 barrier subroutine. If you made a successful run this turn, this ability costs 1 credit less to use. 1 credit: +1 strength.","","","","","program","[""icebreaker"", ""fracter""]","0","3","null_signal_games","criminal","1","","False","1","","","","","runner","1",""
"mark_yale","Mark Yale","马克·耶鲁","Mark Yale","Whenever you spend an agenda counter, gain 1[credit].
[trash] or <strong>any agenda counter:</strong> Gain 2[credit].","每当你花费一枚议案指示物时，获得1[credit]。
[trash]或<strong>任一议案指示物</strong>: 获得2[credit]。","Whenever you spend an agenda counter, gain 1 credit. trash or any agenda counter: Gain 2 credits.","","","","","asset","[""executive""]","1","3","fantasy_flight_games","weyland_consortium","1","","True","","","","","","corp","","3"
"marked_accounts","Marked Accounts","","Marked Accounts","When your turn begins, take 1[credit] from Marked Accounts, if able.
[click]: Place 3[credit] from the bank on Marked Accounts.","","When your turn begins, take 1 credit from Marked Accounts, if able. click: Place 3 credits from the bank on Marked Accounts.","","","","","asset","[""transaction""]","0","3","fantasy_flight_games","nbn","1","","False","","","","","","corp","","5"
"marker","Marker","标记","Marker","[subroutine] The next piece of ice the Runner encounters gains ""[subroutine] End the run."" after all its other subroutines for the remainder of this run.","[subroutine] 本次潜袭的剩余时间内，潜袭者遭遇的下一层防火墙在其它所有子进程后获得“[subroutine] 终止本次潜袭。”","Subroutine The next piece of ice the Runner encounters gains ""Subroutine End the run."" after all its other subroutines for the remainder of this run.","","","","","ice","[""code_gate""]","0","3","fantasy_flight_games","jinteki","1","","False","","","","","","corp","3",""
"market_forces","Market Forces","","Market Forces","Play only if the Runner is tagged.
The Runner loses 3[credit] for each tag they have, then you gain 1[credit] for each credit lost this way.","","Play only if the Runner is tagged. The Runner loses 3 credits for each tag they have, then you gain 1 credit for each credit lost this way.","","","","","operation","[""gray_ops""]","0","3","fantasy_flight_games","nbn","3","","False","","","","","","corp","",""
"market_research","Market Research","市场研究","Market Research","If the Runner is tagged when you score Market Research, place 1 agenda counter on it.
Market Research is worth 1 additional agenda point while it has an agenda counter on it.","如果当你用市场研究计分时，潜袭者被锁定，放置1枚议案指示物到本卡牌上。
当市场研究具有一个议案指示物时，其额外价值1点议案分数。","If the Runner is tagged when you score Market Research, place 1 agenda counter on it. Market Research is worth 1 additional agenda point while it has an agenda counter on it.","4","2","","","agenda","[""research""]","","3","fantasy_flight_games","nbn","","","False","","","","","","corp","",""
"markus_1_0","Markus 1.0","马库斯1.0","Markus 1.0","<strong>Lose [click]:</strong> Break 1 subroutine on this ice. Only the Runner can use this ability.
[subroutine] The Runner trashes 1 of their installed cards.
[subroutine] End the run.","潜袭者能花费[click]，以破解马库斯1.0上的任一子进程。
[subroutine] 潜袭者销毁一张他/她已安装的卡牌。
[subroutine] 终止本次潜袭。","Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine The Runner trashes 1 of their installed cards. Subroutine End the run.","","","","","ice","[""barrier"", ""bioroid""]","4","3","fantasy_flight_games","haas_bioroid","1","","False","","","","","","corp","3",""
"marrow","Marrow","骨髓","Marrow","+1[mu]
You get +3 maximum hand size.
When you install this hardware, suffer 1 core damage.
Whenever the Corp scores an agenda, sabotage 1. <em>(The Corp trashes 1 card of their choice from HQ or the top of R&D.)</em>
Limit 1 <strong>console</strong> per player.","+1[mu]
你的手牌上限+3。
当你安装本硬件时，受到1点核心伤害。每当公司将一个议案计分时，破坏1。<em>（公司选择从总部或研发中心顶端销毁1张卡牌。）</em>
每位玩家限制1个<strong>控制台</strong>。","+1 mu You get +3 maximum hand size. When you install this hardware, suffer 1 core damage. Whenever the Corp scores an agenda, sabotage 1. (The Corp trashes 1 card of their choice from HQ or the top of R&D.) Limit 1 console per player.","","","","","hardware","[""console"", ""cybernetic""]","2","3","null_signal_games","anarch","2","","True","","","","","","runner","",""
"mars_for_martians","Mars for Martians","","Mars for Martians","Play only as your first [click].
Draw 1 card for each installed <strong>clan</strong> resource. Gain 1[credit] for each tag you have.","","Play only as your first click. Draw 1 card for each installed clan resource. Gain 1 credit for each tag you have.","","","","","event","[""priority""]","0","3","fantasy_flight_games","anarch","1","","False","","","","","","runner","",""
"maskirovka","Maskirovka","伪装","Maskirovka","[subroutine] Gain 2[credit].
[subroutine] End the run.","
[subroutine] 获得2[credit]。
[subroutine] 终止本次潜袭。","Subroutine Gain 2 credits. Subroutine End the run.","","","","","ice","[""barrier""]","3","3","null_signal_games","weyland_consortium","3","","False","","","","","","corp","3",""
"mason_bellamy","Mason Bellamy","","Mason Bellamy","Whenever an encounter with a piece of ice protecting this server ends, if the Runner broke at least 1 subroutine during that encounter, they lose [click].","","Whenever an encounter with a piece of ice protecting this server ends, if the Runner broke at least 1 subroutine during that encounter, they lose click.","","","","","upgrade","[""sysop""]","2","3","fantasy_flight_games","haas_bioroid","3","","True","","","","","","corp","","3"
"mass_commercialization","Mass Commercialization","","Mass Commercialization","Gain 2[credit] for each card with at least 1 advancement token on it.","","Gain 2 credits for each card with at least 1 advancement token on it.","","","","","operation","[""transaction""]","0","3","fantasy_flight_games","neutral_corp","0","","False","","","","","","corp","",""
"mass_driver","Mass-Driver","","Mass-Driver","Whenever this program fully breaks a piece of ice, the first 3 subroutines of the next encounter this run do not resolve.
Interface → <strong>2[credit]:</strong> Break 1 <strong>code gate</strong> subroutine.
<strong>1[credit]:</strong> +1 strength.","","Whenever this program fully breaks a piece of ice, the first 3 subroutines of the next encounter this run do not resolve. Interface -> 2 credits: Break 1 code gate subroutine. 1 credit: +1 strength.","","","","","program","[""icebreaker"", ""decoder""]","8","3","fantasy_flight_games","shaper","3","","False","2","","","","","runner","1",""
"mass_install","Mass Install","集群安装","Mass Install","Install up to 3 programs from your grip (paying the install costs).","从你的操控器安装最多三个程序（支付安装费用）。","Install up to 3 programs from your grip (paying the install costs).","","","","","event","","1","3","fantasy_flight_games","neutral_runner","0","","False","","","","","","runner","",""
"masterwork_v37","Masterwork (v37)","旷世杰作(v37)","Masterwork (v37)","+1[mu]
The first time each turn you install a piece of hardware, draw 1 card.
Whenever a run begins, you may install 1 piece of hardware from your grip, paying 1[credit] more.
Limit 1 <strong>console</strong> per player.","+1[mu]。
每回合你第一次安装一个硬件时，抽1张卡牌。
每当一次潜袭开始时，你可以从你的操控器安装1个硬件，其安装费用加1[credit]。
每位玩家限制1个<strong>控制台</strong>。","+1 mu The first time each turn you install a piece of hardware, draw 1 card. Whenever a run begins, you may install 1 piece of hardware from your grip, paying 1 credit more. Limit 1 console per player.","","","","","hardware","[""console""]","2","3","null_signal_games","criminal","4","","True","","","","","","runner","",""
"masvingo","Masvingo","","Masvingo","Masvingo can be advanced.
When you rez Masvingo, place 1 advancement token on it.
Masvingo gains ""[subroutine] End the run."" for each advancement token on it.","","Masvingo can be advanced. When you rez Masvingo, place 1 advancement token on it. Masvingo gains ""Subroutine End the run."" for each advancement token on it.","","","","","ice","[""barrier""]","3","3","fantasy_flight_games","weyland_consortium","2","","False","","","","","","corp","3",""
